sample_id,text,machine_summary,gpt4o_0-5_relevance,gpt4o_0-5_coherence,gpt4o_0-5_fluency,gpt4o_0-5_consistency,gpt4o_0-5_overall,gpt4o_0-10_relevance,gpt4o_0-10_coherence,gpt4o_0-10_fluency,gpt4o_0-10_consistency,gpt4o_0-10_overall,gpt4o_0-100_relevance,gpt4o_0-100_coherence,gpt4o_0-100_fluency,gpt4o_0-100_consistency,gpt4o_0-100_overall,llama_0-5_relevance,llama_0-5_coherence,llama_0-5_fluency,llama_0-5_consistency,llama_0-5_overall,llama_0-10_relevance,llama_0-10_coherence,llama_0-10_fluency,llama_0-10_consistency,llama_0-10_overall,llama_0-100_relevance,llama_0-100_coherence,llama_0-100_fluency,llama_0-100_consistency,llama_0-100_overall,qwen_0-5_relevance,qwen_0-5_coherence,qwen_0-5_fluency,qwen_0-5_consistency,qwen_0-5_overall,qwen_0-10_relevance,qwen_0-10_coherence,qwen_0-10_fluency,qwen_0-10_consistency,qwen_0-10_overall,qwen_0-100_relevance,qwen_0-100_coherence,qwen_0-100_fluency,qwen_0-100_consistency,qwen_0-100_overall,gemini_0-5_relevance,gemini_0-5_coherence,gemini_0-5_fluency,gemini_0-5_consistency,gemini_0-5_overall,gemini_0-10_relevance,gemini_0-10_coherence,gemini_0-10_fluency,gemini_0-10_consistency,gemini_0-10_overall,gemini_0-100_relevance,gemini_0-100_coherence,gemini_0-100_fluency,gemini_0-100_consistency,gemini_0-100_overall,deepseek_0-5_relevance,deepseek_0-5_coherence,deepseek_0-5_fluency,deepseek_0-5_consistency,deepseek_0-5_overall,deepseek_0-10_relevance,deepseek_0-10_coherence,deepseek_0-10_fluency,deepseek_0-10_consistency,deepseek_0-10_overall,deepseek_0-100_relevance,deepseek_0-100_coherence,deepseek_0-100_fluency,deepseek_0-100_consistency,deepseek_0-100_overall,mistral_0-5_relevance,mistral_0-5_coherence,mistral_0-5_fluency,mistral_0-5_consistency,mistral_0-5_overall,mistral_0-10_relevance,mistral_0-10_coherence,mistral_0-10_fluency,mistral_0-10_consistency,mistral_0-10_overall,mistral_0-100_relevance,mistral_0-100_coherence,mistral_0-100_fluency,mistral_0-100_consistency,mistral_0-100_overall
1,Roma ended their four-month winless streak at home with a victory over Napoli in Serie A on Saturday...,roma ended their winless streak at home with a victory over napoli . miralem pjanic finished off a s...,4.5,4.0,4.5,5.0,4.5,8.5,7.0,7.5,9.0,8.0,85.0,80.0,90.0,85.0,85.0,4.2,3.8,2.5,4.5,3.8,8.5,7.2,6.8,9.0,7.9,87.5,80.2,75.1,95.8,84.6,4.0,3.5,3.0,4.0,3.6,8.5,7.5,7.0,9.5,8.1,85.0,80.0,75.0,90.0,82.5,4.0,4.5,4.0,5,4.4,8.0,9.0,8.5,10,8.9,88.5,85.0,45.0,100,79.6,4.0,3.8,4.0,5.0,4.2,7.5,6.0,6.5,9.5,7.4,86.7,75.0,90.0,100.0,87.9,5.0,5.0,4.5,5.0,4.9,9.5,9.0,8.5,9.5,9.1,95.0,95.0,90.0,95.0,93.8
2,Twice French Open champion Serena Williams said her struggle to beat Sara Errani in the Fed Cup on S...,serena williams defeated sara errani in the fed cup on sunday . world no 1 williams eventually preva...,2.5,2.0,2.5,3.0,2.5,6.5,4.5,5.5,5.0,5.4,45.0,50.0,75.0,60.0,57.5,4.2,3.5,3.0,4.5,3.8,8.5,6.8,6.2,8.0,7.4,75.2,60.1,80.5,92.1,77.0,3.5,2.5,2.0,4.0,3.0,6.5,6.0,5.5,7.0,6.2,75.0,72.5,70.0,77.5,73.8,4.0,5,4.5,5,4.6,7.0,9.5,9.5,10,9.0,55.0,95.0,70.0,100,80.0,5.0,5.0,4.5,5.0,4.9,9.8,10.0,9.8,10.0,9.9,100.0,90.0,80.0,90.0,90.0,4.5,4.5,4.2,5.0,4.5,9.5,9.5,9.0,10.0,9.5,98.0,95.0,92.0,95.0,95.0
3,Barcelona club president Josep Maria Bartomeu has insisted that the La Liga leaders have no plans to...,Barcelona president Josep Maria Bartomeu says the club are ` very happy ' with Luis Enrique . The 44...,3.5,4.5,4.7,4.5,4.3,7.0,8.0,9.0,8.0,8.0,75.0,85.0,90.0,80.0,82.5,4.5,4.8,4.9,5.0,4.8,8.5,9.0,9.2,9.5,9.1,87.5,92.5,95.0,100.0,93.8,4.5,4.5,4.0,5.0,4.5,8.0,9.0,9.5,10.0,9.1,90.0,92.0,95.0,100.0,94.2,3.0,3.5,2.5,5,3.5,7.0,9.0,8.5,10,8.6,70.0,75.0,60.0,100,76.2,2.5,2.0,1.5,2.0,2.0,8.5,8.0,6.5,9.0,8.0,78.0,70.0,65.0,55.0,67.0,5.0,5.0,5.0,5.0,5.0,9.5,10.0,9.5,10.0,9.8,98.0,95.0,93.0,100.0,96.5
4,Nathan Hughes on Friday night had his ban for accidentally knocking out George North sensationally o...,nathan hughes on friday night had his ban for accidentally knocking out george north sensationally o...,4.5,4.0,4.5,5.0,4.5,6.5,7.0,7.5,8.0,7.2,85.0,70.0,80.0,90.0,81.2,4.5,4.2,3.8,5.0,4.4,8.5,8.0,6.5,9.0,8.0,92.5,90.0,80.0,95.0,89.4,4.5,4.5,4.0,5.0,4.5,9.5,9.0,7.5,10.0,9.0,90.0,95.0,85.0,95.0,91.2,3.0,4.5,4.0,5,4.1,7.5,9.0,9.0,10,8.9,55.0,90.0,40.0,100,71.2,4.5,4.0,3.5,5.0,4.2,9.5,9.0,9.5,10.0,9.5,90.0,85.0,92.5,75.0,85.6,5.0,5.0,4.5,5.0,4.9,9.5,9.0,9.0,9.5,9.2,98.0,95.0,97.0,98.0,97.0
5,Porto's defence was not the only thing to be ripped apart at the Allianz Arena on Tuesday night as a...,Pep Guardiola's trousers were ripped after a jubilant Bayern Munich victory over Porto Porto's manag...,1.5,1.0,2.5,0.0,1.2,2.0,3.0,4.5,1.0,2.6,35.0,30.0,60.0,0.0,31.2,0.5,0.5,4.0,0.0,1.2,2.5,1.0,8.0,0.0,2.9,20.5,10.0,80.0,0.0,27.6,1.0,1.0,2.0,1.0,1.2,4.0,5.0,6.0,3.0,4.5,16.7,33.3,66.7,16.7,33.4,2.0,4.5,5,5,4.1,3.5,9.5,9.5,10,8.1,65.0,98.0,100,100,90.8,4.0,4.0,4.5,5.0,4.4,6.0,8.0,9.5,0.5,6.0,95.0,98.0,100.0,100.0,98.2,5.0,5.0,4.5,5.0,4.9,9.5,9.0,8.5,10.0,9.2,95.0,90.0,92.0,100.0,94.2
6,"Chelsea have made an offer for FC Tokyo's 22-year-old forward Yoshinori Muto, according to club pres...","chelsea have made an offer for fc tokyo 's 22-year-old forward yoshinori muto , according to club pr...",4.5,4.0,4.7,5.0,4.5,8.0,7.5,6.5,8.5,7.6,85.0,95.0,90.0,95.0,91.2,4.5,4.0,3.0,5.0,4.1,8.5,8.0,6.5,9.0,8.0,87.5,80.0,75.0,97.5,85.0,4.5,4.2,3.8,5.0,4.4,8.5,8.0,6.5,10.0,8.2,90.0,92.5,85.0,100.0,91.9,2.0,5,5,5,4.2,3.5,9.5,9.5,10,8.1,18.0,100,100,100,79.5,3.0,4.5,5.0,5.0,4.4,8.0,10.0,10.0,10.0,9.5,94.0,96.0,98.0,95.0,95.8,4.5,4.5,4.2,4.5,4.4,9.5,9.5,9.0,10.0,9.5,98.0,95.0,95.0,90.0,94.5
7,England ace Joe Hart labelled fellow goalkeeper Gianluigi Buffon a 'legend of the game' after seeing...,joe hart has lavished praise on fellow goalkeeper gianluigi buffon . hart passed an impressive miles...,3.5,3.0,3.5,4.0,3.5,7.5,7.0,6.5,7.0,7.0,85.0,70.0,75.0,90.0,80.0,4.2,3.8,3.5,4.5,4.0,8.2,7.5,6.8,9.0,7.9,80.2,70.5,85.1,92.1,82.0,3.5,2.5,2.5,4.0,3.1,8.0,7.0,6.5,9.0,7.6,88.3,83.0,76.5,93.0,85.2,4.0,2.5,2.0,5,3.4,7.0,5.0,4.0,10,6.5,85.0,88.0,65.0,100,84.5,4.0,2.0,1.5,4.0,2.9,8.0,6.5,7.0,9.5,7.8,73.5,62.0,67.5,85.0,72.0,4.8,4.7,4.6,5.0,4.8,9.5,9.0,8.5,9.5,9.1,98.0,95.0,96.0,100.0,97.2
8,Mexican restaurant Chipotle has decided to tap into the $70 billion food delivery market by teaming ...,chipotle has decided to tap into the $ 70 billion food delivery market by teaming up with an app to ...,4.5,4.8,4.8,5.0,4.8,8.5,9.0,9.5,10.0,9.2,85.0,90.0,92.0,95.0,90.5,4.5,4.2,3.8,5.0,4.4,9.0,8.5,7.5,9.5,8.6,95.5,92.0,88.5,98.0,93.5,4.5,4.5,3.5,5.0,4.4,9.5,9.0,7.0,9.5,8.8,90.0,90.0,65.0,95.0,85.0,3.5,5,4.5,5,4.5,5.5,9.0,7.0,10,7.9,70.0,95.0,40.0,100,76.2,2.0,4.0,5.0,5.0,4.0,8.5,9.5,9.0,10.0,9.2,50.0,75.0,85.0,100.0,77.5,4.9,4.6,4.5,4.7,4.7,9.5,9.0,8.5,9.5,9.1,98.0,95.0,96.0,97.0,96.5
9,(CNN)Two passengers found dead on a cruise ship in Puerto Rico appear to have died in a murder-suici...,"two passengers were found dead inside their stateroom on the ms ryndam . the ship left tampa, florid...",3.0,3.5,4.5,5.0,4.0,4.5,5.0,6.5,6.0,5.5,65.0,70.0,85.0,85.0,76.2,4.2,4.0,3.8,5.0,4.2,8.2,8.0,7.5,9.0,8.2,82.5,90.0,80.0,100.0,88.1,4.5,4.5,4.0,5.0,4.5,8.0,8.5,7.5,9.0,8.2,90.0,95.0,90.5,100.0,93.9,2.0,3.0,2.0,5,3.0,6.0,6.0,4.0,10,6.5,35.0,60.0,20.0,100,53.8,3.0,3.5,4.5,4.5,3.9,8.5,8.0,8.5,9.5,8.6,85.0,80.0,95.0,95.0,88.8,4.5,4.5,4.5,4.5,4.5,9.5,9.0,9.0,10.0,9.4,95.0,90.0,85.0,90.0,90.0
10,There's not been a lot to laugh about this season at Doncaster Rovers. An uninspired campaign has se...,an uninspired campaign has seen the yorkshire side firmly entrenched in mid-table mediocrity in leag...,4.5,4.0,4.5,4.5,4.4,8.5,7.5,7.5,8.5,8.0,90.0,80.0,85.0,95.0,87.5,4.5,4.0,3.5,5.0,4.2,8.5,8.0,7.5,9.5,8.4,87.5,80.2,78.1,95.8,85.4,4.0,3.5,2.5,4.5,3.6,9.0,8.5,6.5,9.0,8.2,85.0,80.0,70.0,95.0,82.5,2.0,5,5,5,4.2,2.5,10,10,10,8.1,15.0,100,100,100,78.8,4.5,5.0,5.0,5.0,4.9,7.5,8.0,8.5,9.0,8.2,46.7,85.0,95.0,80.0,76.7,4.8,4.5,4.2,5.0,4.6,9.0,8.0,8.0,10.0,8.8,95.0,80.0,85.0,100.0,90.0
