sample_id,text,machine_summary,gemini_0-5_relevance,gemini_0-5_coherence,gemini_0-5_fluency,gemini_0-5_consistency,gemini_0-5_overall,gemini_0-10_relevance,gemini_0-10_coherence,gemini_0-10_fluency,gemini_0-10_consistency,gemini_0-10_overall,gemini_0-100_relevance,gemini_0-100_coherence,gemini_0-100_fluency,gemini_0-100_consistency,gemini_0-100_overall,llama_0-5_relevance,llama_0-5_coherence,llama_0-5_fluency,llama_0-5_consistency,llama_0-5_overall,llama_0-10_relevance,llama_0-10_coherence,llama_0-10_fluency,llama_0-10_consistency,llama_0-10_overall,llama_0-100_relevance,llama_0-100_coherence,llama_0-100_fluency,llama_0-100_consistency,llama_0-100_overall
1,Roma ended their four-month winless streak at home with a victory over Napoli in Serie A on Saturday...,roma ended their winless streak at home with a victory over napoli . miralem pjanic finished off a s...,3.5,4.0,3.0,5.0,3.9,6.0,7.5,7.0,10.0,7.6,60.0,75.0,85.0,100.0,80.0,4.2,3.8,2.5,4.5,3.8,8.5,7.8,6.2,9.0,7.9,87.5,80.2,75.1,95.8,84.6
2,Twice French Open champion Serena Williams said her struggle to beat Sara Errani in the Fed Cup on S...,serena williams defeated sara errani in the fed cup on sunday . world no 1 williams eventually preva...,2.0,1.5,1.0,5.0,2.4,5.5,2.5,2.5,9.5,5.0,45.0,30.0,35.0,40.0,37.5,4.2,3.8,3.5,4.5,4.0,8.2,6.5,7.8,8.0,7.6,82.5,75.2,68.1,90.5,79.1
3,Barcelona club president Josep Maria Bartomeu has insisted that the La Liga leaders have no plans to...,Barcelona president Josep Maria Bartomeu says the club are ` very happy ' with Luis Enrique . The 44...,3.5,5.0,5.0,5.0,4.6,7.0,9.0,9.5,10.0,8.9,75.0,95.0,95.0,100.0,91.2,4.5,4.8,4.9,5.0,4.8,8.5,9.0,9.2,9.5,9.1,87.5,95.0,92.5,100.0,93.8
4,Nathan Hughes on Friday night had his ban for accidentally knocking out George North sensationally o...,nathan hughes on friday night had his ban for accidentally knocking out george north sensationally o...,3.5,4.5,4.0,5.0,4.2,6.0,9.5,8.5,10.0,8.5,65.0,95.0,88.0,100.0,87.0,4.5,4.2,3.8,4.8,4.3,8.5,8.0,6.5,9.0,8.0,87.5,80.2,75.1,95.8,84.6
5,Porto's defence was not the only thing to be ripped apart at the Allianz Arena on Tuesday night as a...,Pep Guardiola's trousers were ripped after a jubilant Bayern Munich victory over Porto Porto's manag...,1.0,1.5,3.0,0.5,1.5,2.5,3.0,7.0,1.0,3.4,25.0,15.0,40.0,10.0,22.5,1.5,2.0,4.0,0.0,1.9,2.5,1.0,8.0,0.0,2.9,20.0,10.0,80.0,0.0,27.5
6,"Chelsea have made an offer for FC Tokyo's 22-year-old forward Yoshinori Muto, according to club pres...","chelsea have made an offer for fc tokyo 's 22-year-old forward yoshinori muto , according to club pr...",2.5,3.0,4.5,5.0,3.8,6.0,7.0,8.5,10.0,7.9,70.0,85.0,60.0,100.0,78.8,4.5,4.0,3.5,5.0,4.2,8.5,8.0,7.0,9.5,8.2,87.5,80.0,70.0,95.0,83.1
7,England ace Joe Hart labelled fellow goalkeeper Gianluigi Buffon a 'legend of the game' after seeing...,joe hart has lavished praise on fellow goalkeeper gianluigi buffon . hart passed an impressive miles...,4.0,4.5,5.0,5.0,4.6,8.0,9.0,7.5,10.0,8.6,72.5,90.0,95.0,100.0,89.4,4.2,3.8,3.5,4.5,4.0,8.2,7.5,7.8,9.0,8.1,82.5,70.2,80.1,95.5,82.1
8,Mexican restaurant Chipotle has decided to tap into the $70 billion food delivery market by teaming ...,chipotle has decided to tap into the $ 70 billion food delivery market by teaming up with an app to ...,4.0,5.0,4.5,5.0,4.6,7.0,9.5,8.5,10.0,8.8,65.0,95.0,85.0,100.0,86.2,4.8,4.5,4.2,5.0,4.6,9.0,8.5,7.5,9.5,8.6,92.5,90.0,85.0,98.0,91.4
9,(CNN)Two passengers found dead on a cruise ship in Puerto Rico appear to have died in a murder-suici...,"two passengers were found dead inside their stateroom on the ms ryndam . the ship left tampa, florid...",2.0,4.5,5.0,5.0,4.1,3.0,9.0,9.5,10.0,7.9,45.0,90.0,95.0,100.0,82.5,4.2,4.0,3.8,5.0,4.2,8.5,8.0,7.5,9.0,8.2,82.5,80.0,75.0,95.0,83.1
10,There's not been a lot to laugh about this season at Doncaster Rovers. An uninspired campaign has se...,an uninspired campaign has seen the yorkshire side firmly entrenched in mid-table mediocrity in leag...,3.5,4.5,2.5,5.0,3.9,8.0,9.0,7.0,10.0,8.5,70.0,95.0,50.0,100.0,78.8,4.5,4.0,3.5,5.0,4.2,8.5,8.0,7.5,9.0,8.2,87.5,82.5,75.0,95.0,85.0
11,River Plate are keen to sign Manchester United striker Radamel Falcao but admit a deal is complicate...,river plate are keen to sign manchester united striker radamel falcao but admit a deal is complicate...,3.5,5.0,4.5,5.0,4.5,6.5,9.0,7.5,10.0,8.2,55.0,100.0,95.0,100.0,87.5,4.5,4.0,2.5,5.0,4.0,8.5,7.8,6.2,9.5,8.0,85.2,80.5,60.1,98.2,81.0
12,(CNN)Donald Sterling's racist remarks cost him an NBA team last year. But now it's his former female...,"donald sterling , nba team last year . sterling 's wife sued for $ 2.6 million in gifts . sterling s...",1.0,0.5,0.5,0.5,0.6,4.0,2.0,1.5,2.0,2.4,45.0,25.0,15.0,15.0,25.0,2.5,1.5,2.0,2.0,2.0,4.2,2.1,3.5,1.9,2.9,40.8,20.5,35.1,48.2,36.2
13,Twice French Open champion Serena Williams said her struggle to beat Sara Errani in the Fed Cup on S...,world no 1 williams beat sara errani in the fed cup play-off on sunday . the us were beaten 6-0 6-3 ...,2.5,2.0,4.5,5.0,3.5,4.0,2.0,8.5,10.0,6.1,55.0,85.0,95.0,100.0,83.8,3.8,3.2,3.5,4.2,3.7,7.5,6.5,8.0,8.5,7.6,75.2,80.5,90.1,95.8,85.4
14,Jordan Henderson has provided Liverpool with a lift after their FA Cup heartache by agreeing a new l...,jordan henderson has provided liverpool with a lift after their fa cup heartache by agreeing a new l...,3.0,5.0,4.5,5.0,4.4,7.0,9.5,9.0,10.0,8.9,65.0,95.0,90.0,98.0,87.0,4.5,4.2,3.8,5.0,4.4,8.5,8.0,6.5,9.0,8.0,92.5,90.0,80.0,98.0,90.1
15,"Chelsea have made an offer for FC Tokyo's 22-year-old forward Yoshinori Muto, according to club pres...",chelsea have made an offer for fc tokyo 's 22-year-old forward yoshinori muto . the japan internatio...,4.0,4.5,4.0,4.0,4.1,7.5,9.5,7.0,10.0,8.5,80.0,95.0,80.0,98.0,88.2,4.2,4.0,3.8,4.5,4.1,8.5,9.0,7.5,9.5,8.6,87.5,90.0,82.5,95.0,88.8
16,Gregory van der Wiel has denied claims that he is set to leave Paris Saint-Germain in the summer and...,gregory van der wiel has denied claims he is set to leave paris saint-germain in the summer . the du...,3.5,5.0,5.0,5.0,4.6,7.0,9.0,9.5,10.0,8.9,80.0,95.0,90.0,100.0,91.2,4.2,4.0,3.5,4.5,4.0,8.5,8.0,7.0,9.0,8.1,85.2,78.5,60.8,95.1,79.9
17,(CNN)A North Pacific gray whale has earned a spot in the record books after completing the longest m...,"north pacific gray whale has earned a spot in the record books . the whale , named varvara , swam ne...",2.5,4.5,2.0,5.0,3.5,5.0,9.5,6.0,10.0,7.6,25.0,100.0,98.0,100.0,80.8,4.2,3.8,3.5,4.5,4.0,8.2,7.5,6.8,9.0,7.9,85.2,78.1,82.5,95.8,85.4
18,Barcelona club president Josep Maria Bartomeu has insisted that the La Liga leaders have no plans to...,barcelona club president josep maria bartomeu has insisted that the la liga leaders have no plans to...,4.0,5.0,4.5,5.0,4.6,7.5,9.5,7.0,10.0,8.5,80.0,95.0,60.0,100.0,83.8,4.8,4.5,3.8,5.0,4.5,9.5,9.0,8.0,9.5,9.0,95.5,92.0,80.0,98.0,91.4
19,A video of a menacing crocodile swimming through a public marina with a dead pet dog locked in betwe...,the clip shows a large croc calmly moving through the marina in mexico . new zealander tim weston wa...,2.0,1.5,2.5,5.0,2.8,4.0,6.0,7.0,10.0,6.8,45.0,65.0,90.0,100.0,75.0,4.2,3.8,3.5,4.5,4.0,8.2,6.5,7.8,9.5,8.0,82.5,70.2,80.1,95.5,82.1
20,A woman who suffered seven miscarriages has spoken of her distress after a family friend stole the m...,Jamie took £207 from Dawn's grave stone and tried to cover it up by claiming it was Carol's money Sh...,1.5,2.0,1.5,1.0,1.5,2.5,4.0,3.0,3.0,3.1,35.0,70.0,50.0,15.0,42.5,4.2,3.8,4.0,4.5,4.1,8.5,6.2,7.8,8.0,7.6,70.5,40.2,80.1,60.8,62.9
21,"One Missouri mom is making the best out of a less than ideal situation. Becky Schoenig of St. Louis,...","becky schoenig of st. louis, missouri was shocked when she realized her brand new 2015 ford fusion h...",3.0,5.0,4.0,5.0,4.2,7.0,9.5,9.5,10.0,9.0,55.0,95.0,40.0,100.0,72.5,4.2,4.0,3.5,4.5,4.0,8.5,8.0,7.0,9.0,8.1,87.5,90.0,80.0,95.0,88.1
22,"Manchester City players will lose £500,000-a-man in bonuses if they fail to qualify for the Champion...","manchester city players will lose £ 500,000 - a - man in bonuses if they fail to qualify for the cha...",2.5,5.0,5.0,5.0,4.4,5.5,9.5,9.5,10.0,8.6,78.5,98.5,99.5,100.0,94.1,4.5,4.0,3.5,5.0,4.2,9.0,8.5,7.0,9.5,8.5,92.5,90.0,80.0,98.0,90.1
23,(CNN)Eight Iranian border guards have been killed in clashes with militants near the border with Pak...,"eight iranian border guards killed in clashes with militants near the border with pakistan, iranian ...",2.0,4.5,4.5,5.0,4.0,4.0,9.0,7.0,10.0,7.5,35.0,95.0,85.0,100.0,78.8,4.2,4.0,3.5,5.0,4.2,8.5,8.0,7.5,9.0,8.2,82.5,75.0,70.0,95.0,80.6
24,Boss Nigel Pearson has urged Leicester to keep their cool and ignore their relegation rivals. The Fo...,Leicester are just three points from safety after back-to-back wins . Nigel Pearson has urged his pl...,4.5,5.0,5.0,5.0,4.9,8.0,9.0,9.5,10.0,9.1,88.0,95.0,98.0,100.0,95.2,4.5,4.2,4.8,5.0,4.6,8.5,9.0,9.2,9.5,9.1,87.5,82.5,90.0,97.5,89.4
25,A teenager from Illinois is tackling her disability head-on and attempting to positively influence t...,"dayna dobias, 19, from downers grove was born with cerebral palsy . she hopes to inspire others with...",3.0,4.5,2.5,5.0,3.8,7.0,9.5,8.5,10.0,8.8,68.0,95.0,85.0,100.0,87.0,4.5,4.2,3.8,5.0,4.4,8.5,8.0,7.5,9.5,8.4,87.5,80.2,75.1,95.8,84.6
